SN,IP Delay (ms)
5197,20.273208618164062
5198,20.206928253173828
5199,20.13111114501953
5200,20.11394500732422
5201,19.98209953308105
5202,19.956111907958984
5203,19.901037216186523
5204,19.84882354736328
5205,19.77992057800293
5206,19.754886627197266
5207,19.695043563842773
5208,19.659996032714844
5209,19.58584785461425
5210,19.50693130493164
5211,19.446849822998047
5212,19.366025924682617
5213,19.31190490722656
5214,19.312143325805664
5215,19.1650390625
5216,19.13905143737793
5217,19.09804344177246
5218,19.01698112487793
5219,18.940210342407227
5220,18.8589096069336
5221,18.805980682373047
5222,18.73612403869629
5223,18.64790916442871
5224,18.66316795349121
5225,18.53489875793457
5226,18.5239315032959
5227,18.38397979736328
5228,18.40996742248535
5229,18.346071243286133
5230,18.24498176574707
5231,18.177032470703125
5232,18.15009117126465
5233,18.07093620300293
5234,17.99607276916504
5235,17.934083938598633
5236,17.85588264465332
5237,17.82703399658203
5238,17.759084701538086
5239,17.68803596496582
5240,17.66204833984375
5241,17.53711700439453
5242,17.525911331176758
5243,17.45891571044922
5244,17.38595962524414
5245,17.312049865722656
5246,17.23790168762207
5247,17.169952392578125
5248,17.096996307373047
5249,17.042875289916992
5250,17.027854919433594
5251,16.885995864868164
5252,16.932010650634766
5253,16.764163970947266
5254,16.76487922668457
5255,16.690969467163086
5256,16.65496826171875
5257,16.560792922973633
5258,16.47496223449707
5259,16.401052474975586
5260,16.376018524169922
5261,16.314029693603516
5262,16.2961483001709
5263,21.17514610290528
5264,21.110057830810547
5265,21.04496955871582
5266,20.95198631286621
5267,20.88189125061035
5268,20.832061767578125
5269,20.8120346069336
5270,20.68209648132324
5271,20.68090438842773
5272,20.611047744750977
5273,20.552873611450195
5274,20.54882049560547
5275,20.388126373291016
5276,20.34807205200196
5277,20.286083221435547
5278,20.21503448486328
5279,20.14899253845215
5280,20.06816864013672
5281,20.056962966918945
5282,19.92201805114746
5283,19.92106437683105
5284,19.782066345214844
5285,19.77992057800293
5286,19.694089889526367
5287,19.60897445678711
5288,19.55294609069824
5289,19.46711540222168
5290,19.412994384765625
5291,19.32215690612793
5292,19.288063049316406
5293,19.24896240234375
5294,19.143104553222656
5295,19.12093162536621
5296,19.0579891204834
5297,19.017934799194336
5298,18.957853317260746
5299,18.84603500366211
5300,18.79405975341797
5301,18.72086524963379
5302,18.63908767700196
5303,18.60189437866211
5304,18.52297782897949
5305,18.447160720825195
5306,18.376827239990234
5307,18.372058868408203
5308,18.23115348815918
5309,18.23091506958008
5310,18.171072006225582
5311,18.10288429260254
5312,18.12100410461425
5313,17.9750919342041
5314,17.889976501464844
5315,17.88187026977539
5316,17.731904983520508
5317,17.759084701538086
5318,17.618894577026367
5319,17.634153366088867
5320,17.540931701660156
5321,17.46511459350586
5322,17.410993576049805
5323,17.323017120361328
5324,17.250776290893555
5325,17.199039459228516
5326,17.132997512817383
5327,17.138957977294922
5328,17.06695556640625
5329,16.983985900878906
5330,16.910076141357422
5331,16.832828521728516
5332,16.761064529418945
5333,16.695022583007812
5334,16.632795333862305
5335,16.61992073059082
5336,16.499042510986328
5337,16.48688316345215
5338,16.44587516784668
5339,16.34693145751953
5340,16.308069229125977
5341,16.206979751586914
5342,21.21710777282715
5343,21.132946014404297
5344,21.05903625488281
5345,20.987987518310547
5346,20.951032638549805
5347,20.869016647338867
5348,20.78509330749512
5349,20.732879638671875
5350,20.672082901000977
5351,20.587921142578125
5352,20.576953887939453
5353,20.457029342651367
5354,20.44320106506348
5355,20.38502693176269
5356,20.325899124145508
5357,21.136045455932617
5358,20.190954208374023
5359,20.08318901062012
5360,20.07889747619629
5361,19.958972930908203
5362,19.95706558227539
5363,19.815921783447266
5364,19.78898048400879
5365,19.76299285888672
5366,19.665002822875977
5367,19.60897445678711
5368,19.54197883605957
5369,19.509077072143555
5370,19.43206787109375
5371,19.349098205566406
5372,19.26589012145996
5373,19.190073013305664
5374,19.21296119689941
5375,19.060134887695312
5376,19.041061401367188
5377,18.98407936096192
5378,18.922090530395508
5379,18.857955932617188
5380,18.786191940307617
5381,18.71490478515625
5382,18.6460018157959
5383,18.5549259185791
5384,18.57900619506836
5385,18.445968627929688
5386,18.43404769897461
5387,18.36681365966797
5388,18.312931060791016
5389,18.25404167175293
5390,18.190860748291016
5391,18.09310913085937
5392,18.03016662597656
5393,18.02992820739746
5394,17.88806915283203
5395,17.893075942993164
5396,17.819881439208984
5397,17.774105072021484
5398,17.706871032714844
5399,17.62700080871582
5400,17.566919326782227
5401,17.479896545410156
5402,17.431974411010742
5403,17.33708381652832
5404,17.28200912475586
5405,17.284870147705078
5406,17.14491844177246
5407,17.143964767456055
5408,17.055034637451172
5409,16.993999481201172
5410,16.956090927124023
5411,16.897916793823242
5412,16.80898666381836
5413,16.748905181884766
5414,16.68691635131836
5415,16.588926315307617
5416,16.53003692626953
5417,16.518115997314453
5418,16.397953033447266
5419,16.38317108154297
5420,16.33000373840332
5421,16.282081604003906
5422,16.216039657592773
5423,21.10910415649414
5424,21.04496955871582
5425,20.962953567504883
5426,20.905017852783203
5427,20.87998390197754
5428,20.771026611328125
5429,20.694971084594727
5430,20.6298828125
5431,20.6289291381836
5432,20.521879196166992
5433,20.483970642089844
5434,20.42698860168457
5435,20.374059677124023
5436,20.366191864013672
5437,20.23792266845703
5438,20.21002769470215
5439,20.17402648925781
5440,20.061016082763672
5441,20.004987716674805
5442,19.936084747314453
5443,19.849777221679688
5444,19.79899406433105
5445,19.76895332336425
5446,19.67000961303711
5447,19.61302757263184
5448,19.603967666625977
5449,19.476890563964844
5450,19.455909729003903
5451,19.390106201171875
5452,19.330978393554688
5453,19.27781105041504
5454,19.18792724609375
5455,19.13309097290039
5456,19.081830978393555
5457,19.08087730407715
5458,19.004106521606445
5459,18.90707015991211
5460,18.898963928222656
5461,18.82195472717285
5462,18.80192756652832
5463,18.69797706604004
5464,18.59712600708008
5465,18.56708526611328
5466,18.478870391845703
5467,18.40806007385254
5468,18.31793785095215
5469,18.268823623657227
5470,18.20683479309082
5471,18.13817024230957
5472,18.124818801879883
5473,18.013954162597656
5474,17.98105239868164
5475,17.94600486755371
5476,17.89689064025879
5477,17.807960510253906
5478,17.71712303161621
5479,17.634153366088867
5480,17.55499839782715
5481,17.49110221862793
5482,17.498016357421875
5483,17.37499237060547
5484,17.369985580444336
5485,17.236948013305664
5486,17.213106155395508
5487,17.131805419921875
5488,17.094850540161133
5489,17.040014266967773
5490,16.91889762878418
5491,16.85309410095215
5492,16.8609619140625
5493,16.769886016845703
5494,16.689062118530273
5495,16.64876937866211
5496,16.61396026611328
5497,16.489028930664062
5498,16.480207443237305
5499,16.41702651977539
5500,16.33596420288086
5501,16.283035278320312
5502,16.212940216064453
5503,21.16608619689941
5504,21.0871696472168
5505,21.027088165283203
5506,20.967960357666016
5507,20.914077758789062
5508,20.844221115112305
5509,20.77817916870117
5510,20.676851272583008
5511,20.730018615722656
5512,20.607948303222656
5513,20.576000213623047
5514,20.41888236999512
5515,20.42508125305176
5516,20.38097381591797
5517,20.28894424438477
5518,20.203113555908203
5519,20.149946212768555
5520,20.08819580078125
5521,20.04098892211914
5522,19.942045211791992
5523,19.8819637298584
5524,19.822120666503903
5525,19.742965698242188
5526,19.6990966796875
5527,19.71602439880371
5528,19.578933715820312
5529,19.542932510375977
5530,19.49906349182129
5531,19.42300796508789
5532,19.35887336730957
5533,19.29616928100586
5534,19.21391487121582
5535,19.165992736816406
5536,19.09208297729492
5537,19.09685134887696
5538,18.91303062438965
5539,18.95904541015625
5540,18.841028213500977
5541,18.81098747253418
5542,18.774986267089844
5543,18.687963485717773
5544,18.616914749145508
5545,18.5549259185791
5546,18.46909523010254
5547,18.4171199798584
5548,18.362998962402344
5549,18.27788352966309
5550,18.198013305664062
5551,18.186092376708984
5552,18.064022064208984
5553,18.06902885437012
5554,18.0051326751709
5555,17.910003662109375
5556,17.843961715698242
5557,17.773866653442383
5558,17.785072326660156
5559,17.750024795532227
5560,17.58718490600586
5561,17.52185821533203
5562,17.444133758544922
5563,17.457962036132812
5564,17.297029495239258
5565,17.332077026367188
5566,17.222166061401367
5567,17.158031463623047
5568,17.07601547241211
5569,17.019987106323242
5570,16.969919204711914
5571,16.891956329345703
5572,16.81995391845703
5573,16.772031784057617
5574,16.681909561157227
5575,16.679048538208008
5576,16.56508445739746
5577,16.546010971069336
5578,16.4639949798584
5579,16.395092010498047
5580,16.32404327392578
5581,16.24608039855957
5582,16.24298095703125
5583,21.136045455932617
5584,21.10600471496582
5585,21.029949188232425
5586,20.969152450561523
5587,20.8890438079834
5588,20.826101303100582
5589,20.75481414794922
5590,20.67804336547852
5591,20.60508728027344
5592,20.56193351745605
5593,20.480871200561523
5594,20.47610282897949
5595,20.373106002807617
5596,20.35117149353028
5597,20.267963409423828
5598,20.215988159179688
5599,20.13421058654785
5600,20.059823989868164
5601,19.95706558227539
5602,19.882917404174805
5603,19.83022689819336
5604,19.85788345336914
5605,19.71292495727539
5606,19.71316337585449
5607,19.577980041503903
5608,19.59395408630371
5609,19.510984420776367
5610,19.45018768310547
5611,19.364118576049805
5612,19.30093765258789
5613,19.23203468322754
5614,19.179105758666992
5615,19.095897674560547
5616,19.025087356567383
5617,18.95904541015625
5618,18.961191177368164
5619,18.82290840148925
5620,18.811941146850582
5621,18.67985725402832
5622,18.66006851196289
5623,18.59307289123535
5624,18.53489875793457
5625,18.470048904418945
5626,18.38898658752441
5627,18.3258056640625
5628,18.259048461914062
5629,18.27096939086914
5630,18.110036849975582
5631,18.108129501342773
5632,18.040895462036133
5633,17.953157424926758
5634,17.88187026977539
5635,17.82393455505371
5636,17.763137817382812
5637,17.68803596496582
5638,17.616987228393555
5639,17.540931701660156
5640,17.482995986938477
5641,17.48204231262207
5642,17.385005950927734
5643,17.328977584838867
5644,17.254114151000977
5645,17.18592643737793
5646,17.096996307373047
5647,17.030954360961914
5648,16.956806182861328
5649,16.90983772277832
5650,16.828060150146484
5651,16.76487922668457
5652,16.695022583007812
5653,16.660213470458984
5654,16.53599739074707
5655,16.55101776123047
5656,16.482830047607422
5657,16.414880752563477
5658,16.45803451538086
5659,16.314029693603516
5660,16.260147094726562
5661,21.21591567993164
5662,21.090984344482425
5663,21.067142486572266
5664,20.98917961120605
5665,20.910024642944336
5666,20.82085609436035
5667,20.756006240844727
5668,20.665884017944336
5669,20.60508728027344
5670,20.54595947265625
5671,20.53403854370117
5672,20.40410041809082
5673,20.41506767272949
5674,20.339012145996094
5675,20.312070846557617
5676,20.22290229797364
5677,20.155906677246094
5678,20.06196975708008
5679,20.00093460083008
5680,19.98281478881836
5681,19.834041595458984
5682,19.809961318969727
5683,19.762039184570312
5684,19.717931747436523
5685,19.667863845825195
5686,19.56105232238769
5687,19.50001716613769
5688,19.418954849243164
5689,19.35887336730957
5690,19.28591728210449
5691,19.207000732421875
5692,19.22082901000977
5693,19.08087730407715
5694,19.0579891204834
5695,19.01102066040039
5696,18.952131271362305
5697,18.91708374023437
5698,18.82791519165039
5699,18.73707771301269
5700,18.696069717407227
5701,18.596887588500977
5702,18.599987030029297
5703,18.4628963470459
5704,18.49198341369629
5705,18.41282844543457
5706,18.32890510559082
5707,18.253087997436523
5708,18.185853958129883
5709,18.114089965820312
5710,18.077850341796875
5711,18.002033233642578
5712,17.956972122192383
5713,17.83299446105957
5714,17.82512664794922
5715,17.782926559448242
5716,17.70305633544922
5717,17.611980438232422
5718,17.54283905029297
5719,17.47298240661621
5720,17.400026321411133
5721,17.338037490844727
5722,17.321109771728516
5723,17.184019088745117
5724,17.210960388183594
5725,17.132997512817383
5726,17.04096794128418
5727,16.991853713989258
5728,16.893863677978516
5729,16.821861267089844
5730,16.837120056152344
5731,16.687870025634766
5732,16.695022583007812
5733,16.595125198364258
5734,16.530990600585938
5735,16.4639949798584
5736,16.405105590820312
5737,16.32094383239746
5738,16.25204086303711
5739,16.210079193115234
5740,21.17395401000977
5741,21.136999130249023
5742,21.090030670166016
5743,21.003007888793945
5744,20.94888687133789
5745,20.86997032165528
5746,20.77007293701172
5747,20.767927169799805
5748,20.6298828125
5749,20.6289291381836
5750,20.53499221801757
5751,20.47300338745117
5752,20.41506767272949
5753,20.33710479736328
5754,20.272016525268555
5755,20.212888717651367
5756,20.122766494750977
5757,20.051002502441406
5758,20.009994506835938
5759,20.021915435791016
